typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;34;36;call;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;39;42;mainThread;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;44;48;from;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/AndroidSchedulers.java;50;52;AndroidSchedulers;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;27;29;HandlerScheduler;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;31;40;scheduleDirect;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;42;45;createWorker;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;52;54;HandlerWorker;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;56;81;schedule;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;83;87;dispose;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;89;92;isDisposed;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;101;104;ScheduledRunnable;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;106;117;run;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;119;123;dispose;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/schedulers/HandlerScheduler.java;125;128;isDisposed;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;30;32;setInitMainThreadSchedulerHandler;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;34;43;initMainThreadScheduler;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;45;47;setMainThreadSchedulerHandler;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;49;58;onMainThreadScheduler;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;60;66;getInitMainThreadSchedulerHandler;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;68;74;getOnMainThreadSchedulerHandler;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;76;82;reset;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;84;94;callRequireNonNull;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;96;102;applyRequireNonNull;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;104;110;apply;false;true;false;R;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/plugins/RxAndroidPlugins.java;112;114;RxAndroidPlugins;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;47;60;verifyMainThread;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;64;67;isDisposed;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;69;82;dispose;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;76;78;run;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/main/java/io/reactivex/android/MainThreadDisposable.java;84;84;onDispose;false;false;false;none;[];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/AndroidSchedulersTest.java;38;41;setUpAndTearDown;false;false;false;none;[Before, After];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/AndroidSchedulersTest.java;43;59;mainThreadCallsThroughToHook;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/AndroidSchedulersTest.java;48;51;apply;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/AndroidSchedulersTest.java;61;69;fromNullThrows;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/AndroidSchedulersTest.java;71;74;fromReturnsUsableScheduler;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;52;56;setUp;false;false;false;none;[Before];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;58;62;tearDown;false;false;false;none;[After];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;66;73;directScheduleOncePostsImmediately;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;75;82;directScheduleOnceWithNegativeDelayPostsImmediately;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;84;105;directScheduleOnceUsesHook;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;89;92;apply;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;107;115;directScheduleOnceDisposedDoesNotRun;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;117;128;directScheduleOnceWithDelayPostsWithDelay;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;130;152;directScheduleOnceWithDelayUsesHook;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;135;138;apply;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;154;165;directScheduleOnceWithDelayDisposedDoesNotRun;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;167;186;directSchedulePeriodicallyReschedulesItself;false;false;false;none;[Test, Ignore];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;188;214;directSchedulePeriodicallyUsesHookOnce;false;false;false;none;[Test, Ignore];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;193;196;apply;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;216;237;directSchedulePeriodicallyDisposedDoesNotRun;false;false;false;none;[Test, Ignore];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;239;269;directSchedulePeriodicallyDisposedDuringRunDoesNotReschedule;false;false;false;none;[Test, Ignore];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;243;248;run;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;271;299;directSchedulePeriodicallyThrowingDoesNotReschedule;false;false;false;none;[Test, Ignore];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;274;279;run;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;301;310;workerScheduleOncePostsImmediately;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;312;321;workerScheduleOnceWithNegativeDelayPostsImmediately;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;323;346;workerScheduleOnceUsesHook;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;328;331;apply;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;348;358;workerScheduleOnceDisposedDoesNotRun;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;360;373;workerScheduleOnceWithDelayPostsWithDelay;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;375;399;workerScheduleOnceWithDelayUsesHook;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;380;383;apply;false;false;false;none;[Override];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;401;414;workerScheduleOnceWithDelayDisposedDoesNotRun;false;false;false;none;[Test];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;416;437;workerSchedulePeriodicallyReschedulesItself;false;false;false;none;[Test, Ignore];false;
;;RxAndroid;1;/home/les-02/NovoTGLambda/projects/RxAndroid/rxandroid/src/test/java/io/reactivex/android/schedulers/HandlerSchedulerTest.java;439;467;workerSchedulePeriodicallyUsesHookOnce;false;false;false;none;[Test, Ignore];false;
